brand_id_std	brand_name_std	secondary_mkt_industry1	 brand_sale_amount
10792471	OPPLE/欧普照明	家具家装	 301,951,345
10197897	林氏木业	家具家装	 267,090,176
10053176	CHEERS/芝华仕	家用电器	 56,528,218
10857808	nVc/雷士	家具家装	 211,523,815
10413099	ARROW/箭牌	家具家装	 216,982,877
10065892	QuanU/全友	家具家装	 179,858,399
10870714	源氏木语	家具家装	 202,003,359
10930309	Panasonic/松下	3C数码	 29,134,632
10557245	JOMOO/九牧	家具家装	 149,455,422
10509525	BULL/公牛	3C数码	 56,859,230
10846170	SLEEMON/喜临门	家具家装	 137,050,121
10567539	TATA木门	家具家装	 81,014,993
10916085	四季沐歌	其他行业	 28,288,095
10047849	索菲亚	家具家装	 132,249,270
10189091	爱果乐	家具家装	 95,615,149
10148377	月影凯顿	家具家装	 85,806,607
10571782	submarine/潜水艇	家具家装	 74,310,826
10125240	DE RUCCI/慕思	家具家装	 61,606,964
10768314	Cobbe/卡贝	轻工制造	 25,200,035
10943394	希尔顿	家具家装	 70,652,980
10913717	Hegii/恒洁	家具家装	 69,443,213
10696053	AUPU/奥普	家具家装	 68,800,176
10675123	StudyTime/学习时光黑白调	家具家装	 61,493,091
10939581	欧派	家具家装	 71,023,058
10484922	KOHLER/科勒	家具家装	 60,303,245
10838325	HOROW/希箭卫浴	家具家装	 53,533,659
10618022	原始原素	家具家装	 63,332,694
10405727	Sihoo/西昊	家具家装	 56,484,649
10728142	AIRLAND/雅兰	家具家装	 54,239,410
10439996	亿家达	家具家装	 45,250,042
10552051	Bosch/博世	其他行业	 35,017,503
10120828	HIKVISION/海康威视	轻工制造	 23,917,294
10553312	东成	家具家装	 43,487,782
10809868	金橡树	家具家装	 38,107,110
10774386	元方缘	家具家装	 34,122,023
10468803	萤石	家具家装	 43,525,910
10194681	维莎	家具家装	 42,796,859
10628879	CHNT/正泰	家具家装	 41,189,619
10341021	TOTO	家具家装	 37,434,364
10645557	HALO	家具家装	 36,716,543
10692572	蔓斯菲尔	家具家装	 35,648,978
10843531	德力西	家具家装	 34,233,934
10721838	Deli/得力	医药保健	 10,186,894
10701069	DHP	家具家装	 30,840,327
10428324	Hbada/黑白调	家具家装	 34,420,742
10642137	SIEMENS/西门子	医药保健	 10,986,970
10839802	Vatti/华帝	家用电器	 261,879,085
10473667	A家家具	家具家装	 23,102,312
10197047	NIPPON PAINT/立邦	家具家装	 20,682,984
10569440	卓禾(家具)	家具家装	 31,088,775
10515731	耐家	家具家装	 26,025,992
10262538	科麦斯	家具家装	 23,790,776
10704939	护童	家具家装	 27,917,517
10782414	金可儿	家具家装	 19,924,061
10580506	AutoFull/傲风	家具家装	 24,633,405
10192150	Faenza/法恩莎	家具家装	 20,172,272
10557249	摩恩	家具家装	 25,286,264
10621286	My Side	家具家装	 20,636,924
10516286	UVAN ART/优梵艺术	家具家装	 34,064,883
10438686	房屋医生	家具家装	 22,192,780
10583718	健威	家具家装	 18,406,636
10761031	木马人	家具家装	 23,579,191
10339467	Rimowa/日默瓦	家具家装	 14,470,769
10449739	DUSHULANG/读书郎	3C数码	 32,533,175
10325991	尚品宅配	家具家装	 26,581,029
10939737	上林春天	家具家装	 19,661,439
10625277	Davco/德高	家具家装	 18,837,627
10818659	IGLOUCE/宜洛	家具家装	 22,014,162
10546642	赛杉	家具家装	 19,790,109
10883824	东鹏	家具家装	 30,165,481
10417129	ONEFIRE/万火	家具家装	 24,330,269
10122997	芝浦	家具家装	 14,965,121
10863535	沐春	家具家装	 15,113,613
10191880	大自然	家具家装	 15,867,624
10939517	亲友	家具家装	 18,461,903
10730778	Cookever	家具家装	 17,819,397
10484924	惠达	家具家装	 16,561,281
10867140	TOMBCNIGRE/托马斯威尔	家具家装	 16,551,260
10208295	梦百合	家具家装	 18,673,343
11027179	黑白调学习时光	家具家装	 20,495,022
10654724	Visney/卫诗理	家具家装	 16,726,062
10855862	亚固	家具家装	 15,347,291
10778632	中派	家具家装	 19,999,300
10072628	晶思达	家具家装	 16,189,720
10212903	WORX/威克士	家具家装	 18,319,894
10414691	家逸	家具家装	 16,781,027
10586060	顾家	家具家装	 14,330,949
10446307	Dulux/多乐士	家具家装	 15,405,091
10561948	一棵柠檬	家具家装	 17,236,890
10716229	伯课	家具家装	 22,856,793
10222839	Sunhoo/双虎	家具家装	 14,294,223
10039562	EMEIDIYATICAN/伊美蒂梵	家具家装	 12,620,554
10491104	麦田	家具家装	 18,560,263
10937141	丽巢	家具家装	 17,600,920
10418903	IKEA/宜家	家具家装	 19,518,373
10838102	3M	其他行业	 53,659,069
10212825	百纯	家具家装	 15,260,641
10941003	箭牌（锁具）	家具家装	 12,455,380
10119310	Oulin/欧琳	家具家装	 15,910,785
10937268	中伟	家具家装	 13,016,662
12654006	全森亦品	家具家装	 13,348,892
10131096	华文世家	家具家装	 20,279,118
10590032	八九间	家具家装	 15,247,789
10469150	Benq/明基	轻工制造	 33,198,801
10696077	Ergonor/保友办公家具	家具家装	 12,814,577
10939422	滑氏红木	家具家装	 13,309,638
10772762	legrand/罗格朗	家具家装	 14,803,920
10943618	仁轩	家具家装	 15,644,757
10257926	MarkorFurnishings/美克·美家	家具家装	 27,013,472
10249838	众力高	家具家装	 11,301,717
10163860	NOBLIFT/诺力	家具家装	 13,149,760
10864817	norhor	家具家装	 17,396,925
10196380	冰兰	家具家装	 15,321,109
10345758	兆生	家具家装	 13,619,641
10844738	左右	家具家装	 10,841,527
10498839	奥尔凡	家具家装	 15,677,638
10936746	佳佰	轻工制造	 59,122,562
10049484	FSL	家具家装	 14,220,083
10704543	oylang/欧意朗	家具家装	 13,157,664
10627210	Symbol/穗宝	家具家装	 13,505,821
10841623	汉斯格雅	家具家装	 13,286,498
10930423	施美特	家具家装	 13,283,942
10121585	乔安	家具家装	 12,689,691
10146840	Toshiba/东芝	3C数码	 51,183,861
10484188	林氏	家具家装	 12,349,733
10365959	徕斯达	家具家装	 13,474,820
10785905	固特	家具家装	 12,299,279
10074234	DELIXI ELECTRIC/德力西电气	家具家装	 12,362,744
10943718	百冠环球	家具家装	 11,435,720
10200013	兴隆芳华	家具家装	 12,604,727
10509724	帕沙曼	家具家装	 13,300,143
10839294	西西可灯饰	家具家装	 14,505,137
10052936	GROHE/高仪	家具家装	 12,278,116
10513054	Coleshome/蔻丝	家具家装	 13,393,164
10769202	BINGO/松果	家具家装	 11,601,941
10199662	BAIFANG/百方家具	家具家装	 12,941,950
10939534	登航	家具家装	 15,636,675
10782726	简欧宫庭	家具家装	 12,464,289
10197408	孩视宝	家具家装	 18,450,602
10271815	美嘉思	家具家装	 18,240,631
10485038	Serta/舒达	家具家装	 11,677,194
10619380	Yeelight	家具家装	 12,911,065
10153749	木月	家具家装	 11,447,167
10725617	Sweetnight	家具家装	 11,358,979
12655323	瑜芯	家具家装	 14,703,455
10291494	扬子	家用电器	 90,305,653
10552127	8H	家具家装	 12,416,420
10563305	LICHEN/力辰科技	家具家装	 12,316,586
10792590	Winkong/维港	家具家装	 14,400,581
10410798	迪美尔	家具家装	 13,697,331
10459421	优尚雅轩	家具家装	 10,502,184
10695454	施迈	家具家装	 11,175,701
10550442	DIYIDENG LIGHTING/迪伊登照明	家具家装	 12,427,767
10943738	春花秋月（住宅家具）	家具家装	 14,012,748
10957687	尧工	家具家装	 13,402,374
10340982	ssww/浪鲸	家具家装	 11,568,595
10268428	希维尔	家具家装	 10,712,228
10630227	AOZZO/奥朵	家具家装	 11,622,585
12654310	琦涵	家具家装	 12,244,008
12657909	创繁	家具家装	 24,508,110
10710148	明象	家具家装	 11,197,226
10054289	烛韵	家具家装	 10,792,865
10345299	LFF/拉芙菲	家具家装	 14,203,110
10726260	卡尔适 CARZZI	家具家装	 14,861,878
10940083	贝特森	家具家装	 11,274,478
12659752	法兰芭比	家具家装	 28,685,325
10936748	京造	轻工制造	 39,264,948
10202939	傲海	家具家装	 11,254,019
10205495	顺成阳光	家具家装	 11,598,013
10512025	迅泽	家具家装	 12,610,772
11022112	京锦祥	家具家装	 13,284,540
10849976	CONRING	家具家装	 11,145,399
10693281	Paulmann	家具家装	 11,628,925
10316262	布雷尔	家具家装	 12,501,115
10939540	唐尊	家具家装	 12,401,275
10292525	纽思维尔	家具家装	 10,530,923
10458452	和谐家园	家具家装	 13,168,763
10630635	丰舍	家具家装	 11,193,175
10122508	光明园迪	家具家装	 10,810,451
10497089	Sh.Kl/心海.伽蓝	家具家装	 12,196,020
12655084	卡洛森	家具家装	 12,715,769
10097553	守望者	家具家装	 10,853,698
10426500	zealJoy/泽雅居	家具家装	 12,353,333
10963070	圳典	家具家装	 17,614,990
10712627	好视力	家具家装	 11,341,250
10395592	梅森&索菲亚	家具家装	 13,860,569
10341430	良亮	家具家装	 11,169,046
10943714	茗仕居（家具）	家具家装	 12,453,373
10958387	启功	家具家装	 15,844,792
10324281	Olay/玉兰油	美妆个护	 159,059,313
10492494	CHANDO/自然堂	美妆个护	 155,461,234
10120474	safeguard/舒肤佳	美妆个护	 125,511,779
10485787	GIORGIO  ARMANI	美妆个护	 116,599,715
10840991	Gillette/吉列	美妆个护	 103,249,487
10900824	Chanel/香奈儿	美妆个护	 91,412,704
10007349	梵贞	美妆个护	 267,620,215
10324287	潘婷	美妆个护	 108,846,600
10835835	药都仁和	食品饮料	 29,378,169
10612343	Laneige/兰芝	美妆个护	 83,029,676
10502270	云南白药	医药保健	 40,523,213
10335998	修正	医药保健	 55,512,296
10551112	ZEESEA	美妆个护	 72,996,998
10036066	沙宣	美妆个护	 59,633,180
10036041	Mentholatum/曼秀雷敦	美妆个护	 64,320,766
10341267	形象美	美妆个护	 46,609,770
10708250	Tom Ford/汤姆福特	美妆个护	 46,889,477
10634411	RYO/吕	美妆个护	 62,999,067
10536058	CPB	美妆个护	 55,514,683
10468157	KERASTASE/卡诗	美妆个护	 52,126,598
10438650	资莱皙	美妆个护	 47,569,610
10937509	Elizabeth Arden/伊丽莎白雅顿	美妆个护	 57,423,963
10480503	LION	美妆个护	 47,836,202
10828395	HR/赫莲娜	美妆个护	 30,522,378
10646096	pinkypinky/缤肌	美妆个护	 54,989,216
10635827	SKINCEUTICALS/修丽可	美妆个护	 56,269,684
10844073	霸王	美妆个护	 45,050,277
10527572	阿芙	美妆个护	 41,077,350
10267892	Fonce/梵西	美妆个护	 31,215,875
10446344	透蜜	美妆个护	 33,526,417
11030761	忆香缘	美妆个护	 36,781,955
10276761	Watsons/屈臣氏	食品饮料	 43,880,092
10561504	左颜右色	美妆个护	 35,951,418
10913589	满婷	美妆个护	 33,933,390
10546341	Puwubeauty/朴物大美	美妆个护	 50,016,760
10423485	唐瓷雅轩	美妆个护	 32,126,202
10073669	Dr.Ci:Labo	美妆个护	 49,391,689
10939335	TriptychOfLune/三谷	美妆个护	 27,306,286
10003411	和风雨	美妆个护	 37,154,661
12653352	WSMM	美妆个护	 21,865,697
10036061	Shu-uemura/植村秀	美妆个护	 37,218,061
10426257	Elta MD	美妆个护	 24,320,083
10832647	QuadHA/夸迪	美妆个护	 44,486,714
10429660	IPSA/茵芙莎	美妆个护	 30,452,562
10624892	PZH/片仔癀	美妆个护	 32,174,793
10229178	Dr.Yu/玉泽	美妆个护	 40,249,441
10914476	惠润	美妆个护	 26,167,183
10563723	舒适达	美妆个护	 29,073,922
10356165	Avec moi	美妆个护	 20,138,341
10035985	AUPRES/欧珀莱	美妆个护	 28,080,624
10430261	Schwarzkopf/施华蔻	其他行业	 55,641,473
10490947	Walch/威露士	轻工制造	 135,701,155
10456655	GererMns/极男	美妆个护	 30,518,009
10940829	至本	美妆个护	 38,369,731
10048541	OneSpring/一枝春	美妆个护	 24,580,440
10987528	smile lab	美妆个护	 27,459,102
10540222	SOFINA/苏菲娜	美妆个护	 28,766,244
11030545	仁和	医药保健	 87,811,164
10180252	Versace/范思哲	美妆个护	 22,482,145
10939291	仙蒂奈儿	美妆个护	 23,379,985
10421965	TIMAGE/彩棠	美妆个护	 36,296,197
10943565	H＆E/赫恩	美妆个护	 21,809,597
10612371	Za/姬芮	美妆个护	 26,267,966
10882809	HELIUS/赫丽尔斯	美妆个护	 24,253,735
10424283	HANAJIRUSHI/花印	美妆个护	 30,944,201
10560858	魔香	美妆个护	 20,344,265
11028899	瑷尔博士	美妆个护	 25,113,226
10621122	韩熙贞	美妆个护	 20,737,537
10283642	三个魔发匠	美妆个护	 20,570,237
10900859	Neutrogena/露得清	美妆个护	 21,696,708
10193329	马丁	美妆个护	 24,184,073
10684705	Herborist/佰草集	美妆个护	 23,187,769
10932666	SHISEIDO PROFESSIONAL/资生堂专业美发	美妆个护	 23,531,651
10278311	First aid beauty/急救美人	美妆个护	 32,259,377
10901051	澳宝	美妆个护	 20,221,810
10570556	Banila CO/芭妮兰	美妆个护	 20,971,251
10324237	DHC	美妆个护	 24,092,840
10528933	SENKA/珊珂	美妆个护	 23,213,800
10489566	Cetaphil/丝塔芙	美妆个护	 26,217,446
10396168	三生花	美妆个护	 21,855,593
10276467	COCOESSENCE/遇见香芬	美妆个护	 19,528,937
10983991	farmacy	美妆个护	 24,645,126
10077408	葆丽匙	美妆个护	 21,855,749
10043256	DERMAFIRM+/德妃	美妆个护	 19,359,028
10492497	大宝	美妆个护	 19,368,553
10050719	金泰康	美妆个护	 31,155,113
12658767	NewDerm	美妆个护	 27,790,290
